,projectName,Repository,Total Issues,Date Range,Runtime Errors %,Performance Issues %,Async Programming %,State Management %,Browser Compatibility %,Security Vulnerabilities %,Dependency Management %,Framework-Specific %,Network & API %,Configuration & Build %,Top Categories
132,node-red-my-nodes,node-red-my-nodes,8.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,7.14,0.0,50.0,0.0,35.71,7.14,"Dependency Management, Network & API, Browser Compatibility"
133,node.it,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
134,nodejs-express-jwt-mongodb-boilerplate,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
135,NSE-BhavCopy-Daily,NSE-BhavCopy-Daily,5.0,issues created before 2025-01-01,0.0,0.0,1.72,0.0,10.34,10.34,43.1,0.0,25.86,8.62,"Dependency Management, Network & API, Browser Compatibility"
136,obscene_racing_machine,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
137,OpiskelijalounasWebFetchAction,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
138,personal-landing-page,personal-landing-page,426.0,issues created before 2025-01-01,0.81,2.31,2.24,4.02,12.39,7.31,34.67,9.19,18.97,8.1,"Dependency Management, Network & API, Browser Compatibility"
139,PersonalSite,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
140,pgz-hiprint-html,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
141,philanderson.uk,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
142,PiLot,PiLot,19.0,issues created before 2025-01-01,0.0,4.0,0.0,4.0,36.0,4.0,12.0,0.0,24.0,16.0,"Browser Compatibility, Network & API, Configuration & Build"
143,Pixel-Art-Maker-at-Masterschool,,0.0,issues created before 2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
144,plattform,plattform,985.0,issues created before 2025-01-01,1.84,1.64,1.36,7.5,22.15,0.41,12.47,7.36,34.49,10.77,"Network & API, Browser Compatibility, Dependency Management"
